Station	Date	Tmin	Tmax	Tavg	I
15/05/2018	10.4	23.2	17.2	23.4
16/05/2018	10.3	24	17.8	21.6
17/05/2018	9.9	19.4	14.2	25.9
18/05/2018	8.5	18.8	14.2	24.1
19/05/2018	9.5	19.2	14.5	22.3
20/05/2018	6.5	20.4	14.2	27.3
21/05/2018	6.6	19.5	13.8	23.1
22/05/2018	9.3	22.7	15.6	21.6
23/05/2018	7.3	24.7	16.7	25.9
24/05/2018	9.7	22.7	16.8	28.2
25/05/2018	11.1	22.5	16.8	27.8
26/05/2018	11.9	24.7	17.6	21.2
27/05/2018	12.1	21.7	16.3	15.5
28/05/2018	13.3	21.4	16.6	11.7
29/05/2018	14.7	25.9	20.4	26.8
30/05/2018	14.4	26.8	20.7	28.1
31/05/2018	15.4	23.1	19	24.9
01/06/2018	13.6	26.6	19.9	27.1
02/06/2018	11.8	26.9	20.4	28.1
03/06/2018	13.1	24.3	18.6	25.2
04/06/2018	14.4	23.3	18.7	26.4
05/06/2018	13.2	24.1	18.5	29
06/06/2018	9.8	21.4	16.2	29.4
07/06/2018	9.5	23.6	17.2	29.6
08/06/2018	10	27.5	19.6	27.3
09/06/2018	12.1	27.2	20.3	24.3
10/06/2018	15.7	24.9	18.9	13.1
11/06/2018	11.2	19.1	15.2	14.6
12/06/2018	12.9	18.7	15.1	14
13/06/2018	12	19	15	27.2
14/06/2018	10.9	21.1	15.9	23.7
15/06/2018	11	20.4	15.9	28.5
16/06/2018	9	20.8	15.5	13.6
17/06/2018	12.5	19.9	16.1	18.7
18/06/2018	10.5	18.8	15.5	15.8
19/06/2018	12	20.3	16.6	24.4
20/06/2018	10.7	23.6	17.2	21.4
21/06/2018	10.5	17	13.5	13.2
22/06/2018	9.5	18.4	13.3	22.7
23/06/2018	9.8	17.8	13.8	28.7
24/06/2018	11.4	19.3	14.6	19
25/06/2018	9.8	23.3	16.6	22.8
26/06/2018	12.6	25.7	19.4	27.1
27/06/2018	11.9	23.9	18.6	29.4
28/06/2018	8.5	26.6	19	29.1
29/06/2018	11	23.6	18.5	28
30/06/2018	8.3	23.4	16.9	23.8
01/07/2018	10.2	22.8	16.7	21.4
02/07/2018	9.1	23.2	17.6	29.3
03/07/2018	10.3	24.5	18.1	29.8
04/07/2018	9.7	21.2	16.6	29.1
05/07/2018	14.6	19.6	16.4	8.8
06/07/2018	13	21.8	17.1	27.9
07/07/2018	12.2	24.3	17.7	27.6
08/07/2018	14.5	24.2	18.9	23
09/07/2018	12.6	19.8	16.1	24
10/07/2018	10.6	20	15.7	16.5
11/07/2018	15.3	26	19.6	21.8
12/07/2018	14.4	28.2	21.9	26.7
13/07/2018	15.3	26.7	20.5	25.3
14/07/2018	13.6	20.4	16	14.2
15/07/2018	11.6	24.6	18.5	26.5
16/07/2018	10.9	28.4	21	25.6
17/07/2018	13.7	29.1	21.7	16.8
